log10(IA-C),log10(B),log10(C),log10(CAV-C),log10(IV2-C),log10(Pd),log10(Pv),log10(Pa),log10(AAS-C),log10(AVS-C),log10(ADS-C),log10(tc),log10(TP),log10(Tva),Epi/km
-6.06217735,-1.326764644,-1.873560235,-1.411235579,-7.80613367,-7.300536178,-3.349812255,-1.288348609,0.314507141,-3.120263659,-5.736807854,-0.48677165,-3.390606748,-0.436059067,40.14426715
-5.486754385,-1.851363558,-1.653072918,-1.155878997,-7.294725039,-6.874240184,-2.938348043,-0.80352472,0.553749386,-2.957074989,-5.522477635,-0.556984105,-3.465691016,-0.509975238,41.43412659
-7.524083408,-2.124310713,-2.897303183,-2.125656908,-9.011823094,-8.070127521,-4.111727113,-2.074166158,-0.386305036,-3.98611469,-6.478671468,0.287064528,-1.719195828,-0.112774217,82.44872026
-4.239455974,-0.117110971,-1.366498115,-0.558972185,-5.570424511,-6.137397139,-2.17749395,-0.10623187,1.234043027,-2.352206012,-4.902374821,0.052456415,-0.678564166,-0.314407535,5.654940188
-5.795797783,-0.870072965,-2.192822005,-1.407010483,-7.309122525,-6.971772005,-2.933050734,-0.908740921,0.3269365,-3.247885572,-5.764691584,-0.297176886,-2.647493525,-0.302592739,5.458421289
-6.372167806,-1.13909226,-2.252705991,-1.608797386,-7.949438709,-7.23461465,-3.301040284,-1.184001895,0.110242805,-3.389651828,-5.948931049,-0.270497293,-2.868702796,-0.286503634,6.857596507
-4.802006974,-0.636877445,-1.769169618,-0.897493684,-6.033325721,-6.578840587,-2.685431443,-0.605353987,0.804105972,-2.750232655,-5.224779779,-0.32346735,-1.809311399,-0.417387114,6.87128981
-6.327126962,-1.507057798,-2.334574839,-1.555297523,-7.838803258,-7.474163328,-3.430849934,-1.404464478,0.164974207,-3.411954152,-5.910595525,-0.371537055,-3.068572062,-0.338980932,12.4482382
-5.931494419,-1.524650737,-2.022291865,-1.323776511,-7.420740081,-7.242245771,-3.233661899,-1.177536907,0.462777998,-3.176607535,-5.694910133,0.077706536,-1.682170456,-0.203146806,26.6223022
-7.662191067,-2.024318062,-3.384801959,-2.212599315,-8.992865752,-8.183644163,-4.199805264,-2.185572678,-0.551308553,-4.082324854,-6.56312546,-0.266532386,-3.174010758,-0.356453513,17.33928285
-5.579067658,-1.222357623,-2.045567624,-1.238213138,-6.922708514,-6.955598194,-3.072414508,-0.970159264,0.436486937,-3.040333448,-5.553025156,-0.060454848,-1.860609272,-0.230149302,11.36981122
